action_id,object,count
hang,coat hanger,17
inspect,air conditioner,17
inspect,computer,17
inspect,bin,17
inspect,sink cabinet,17
inspect,hose,17
inspect,stack of books,17
lift,coat,17
pick_up,flowerpot,17
place_in,shelf,17
place_in,flowerpot,17
place_in,hairbrush,17
place_on,paper,17
place_on,dining chair,17
place_on,desk,17
place_on,board,17
place_on,pot,17
push,bed,17
reposition,nightstand,17
reposition,flower vase,17
reposition,weight bench,17
stack,pile of magazines,17
store,storage box,17
store,laptop,17
store,screwdriver,17
store,pitcher,17
store,container,17
straighten,bowl,17
straighten,bedside table,17
turn_on,ventilation,17
turn_on,faucet,17
wipe,bath tub,17
wipe,shower tub,17
wipe,decorative plant,17
wipe,shower glass,17
wipe,information,17
wipe,elevator door,17
carry,book,16
carry,kettle,16
carry,appliance,16
close,curtain rod,16
close,dishwasher,16
dispose,trash can,16
dump,container,16
dust,antique clock,16
fold,table cloth,16
hang,clothes rack,16
inspect,rug,16
inspect,clothes_hamper,16
inspect,toilet brush,16
inspect,information,16
open,laundry machine,16
open,clothes dryer,16
pick_up,rug,16
pick_up,paper towel,16
place_in,bowl of fruit,16
